rep_date,ws,wg,wdir
2025-06-01 00:00:00,38.9,,234
2025-06-01 01:00:00,38.9,,238
2025-06-01 02:00:00,37.1,,234
2025-06-01 03:00:00,40.7,,239
2025-06-01 04:00:00,42.5,,241
2025-06-01 05:00:00,,,
2025-06-01 06:00:00,,,
2025-06-01 07:00:00,,,
2025-06-01 08:00:00,20.5,,255
2025-06-01 09:00:00,29.5,,128
2025-06-01 10:00:00,29.5,,142
2025-06-01 11:00:00,25.9,,137
2025-06-01 12:00:00,22.3,,146
2025-06-01 13:00:00,,,
2025-06-01 14:00:00,,,
2025-06-01 15:00:00,9.4,,146
2025-06-01 16:00:00,13.0,,158
2025-06-01 17:00:00,9.4,,75
2025-06-01 18:00:00,9.4,,140
2025-06-01 19:00:00,13.0,,121
2025-06-01 20:00:00,13.0,,109
2025-06-01 21:00:00,13.0,,85
2025-06-01 22:00:00,13.0,,114
2025-06-01 23:00:00,25.9,,85
2025-06-02 00:00:00,20.5,,70
2025-06-02 01:00:00,20.5,,88
2025-06-02 02:00:00,18.4,,82
2025-06-02 03:00:00,9.4,,95
2025-06-02 04:00:00,31.7,,51
2025-06-02 05:00:00,22.3,,6
2025-06-02 06:00:00,13.0,,17
2025-06-02 07:00:00,14.8,,20
2025-06-02 08:00:00,11.2,,88
2025-06-02 09:00:00,13.0,,340
2025-06-02 10:00:00,20.5,,321
2025-06-02 11:00:00,13.0,,328
2025-06-02 12:00:00,13.0,,290
2025-06-02 13:00:00,16.6,,259
2025-06-02 14:00:00,16.6,,250
2025-06-02 15:00:00,13.0,,254
2025-06-02 16:00:00,20.5,,256
2025-06-02 17:00:00,22.3,,252
2025-06-02 18:00:00,16.6,,234
2025-06-02 19:00:00,7.6,,259
2025-06-02 20:00:00,7.6,,169
2025-06-02 21:00:00,14.8,,96
2025-06-02 22:00:00,11.2,,97
2025-06-02 23:00:00,13.0,,242
2025-06-03 00:00:00,18.4,,229
2025-06-03 01:00:00,11.2,,284
2025-06-03 02:00:00,7.6,,267
2025-06-03 03:00:00,7.6,,191
2025-06-03 04:00:00,16.6,,340
2025-06-03 05:00:00,16.6,,225
2025-06-03 06:00:00,11.2,,269
2025-06-03 07:00:00,11.2,,284
2025-06-03 08:00:00,16.6,,320
2025-06-03 09:00:00,14.8,,307
2025-06-03 10:00:00,16.6,,272
2025-06-03 11:00:00,18.4,,310
2025-06-03 12:00:00,13.0,,295
2025-06-03 13:00:00,13.0,,303
2025-06-03 14:00:00,18.4,,307
2025-06-03 15:00:00,14.8,,294
2025-06-03 16:00:00,11.2,,324
2025-06-03 17:00:00,24.1,,50
2025-06-03 18:00:00,14.8,,101
2025-06-03 19:00:00,11.2,,320
2025-06-03 20:00:00,5.4,,148
2025-06-03 21:00:00,9.4,,226
2025-06-03 22:00:00,5.4,,305
2025-06-03 23:00:00,7.6,,267
2025-06-04 00:00:00,22.3,,63
2025-06-04 01:00:00,14.8,,353
2025-06-04 02:00:00,9.4,,182
2025-06-04 03:00:00,11.2,,202
2025-06-04 04:00:00,5.4,,215
2025-06-04 05:00:00,9.4,,273
2025-06-04 06:00:00,14.8,,261
2025-06-04 07:00:00,13.0,,264
2025-06-04 08:00:00,11.2,,268
2025-06-04 09:00:00,13.0,,282
2025-06-04 10:00:00,9.4,,242
2025-06-04 11:00:00,13.0,,265
2025-06-04 12:00:00,9.4,,275
2025-06-04 13:00:00,11.2,,246
2025-06-04 14:00:00,11.2,,253
2025-06-04 15:00:00,7.6,,271
2025-06-04 16:00:00,5.4,,118
2025-06-04 17:00:00,7.6,,94
2025-06-04 18:00:00,7.6,,107
2025-06-04 19:00:00,9.4,,135
2025-06-04 20:00:00,7.6,,162
2025-06-04 21:00:00,3.6,,275
2025-06-04 22:00:00,20.5,,127
2025-06-04 23:00:00,18.4,,144
2025-06-05 00:00:00,11.2,,132
2025-06-05 01:00:00,13.0,,97
2025-06-05 02:00:00,13.0,,108
2025-06-05 03:00:00,13.0,,98
2025-06-05 04:00:00,9.4,,159
2025-06-05 05:00:00,5.4,,329
2025-06-05 06:00:00,14.8,,265
2025-06-05 07:00:00,13.0,,290
2025-06-05 08:00:00,7.6,,262
2025-06-05 09:00:00,18.4,,312
2025-06-05 10:00:00,25.9,,324
2025-06-05 11:00:00,9.4,,303
2025-06-05 12:00:00,11.2,,259
2025-06-05 13:00:00,11.2,,273
2025-06-05 14:00:00,11.2,,314
2025-06-05 15:00:00,9.4,,316
2025-06-05 16:00:00,5.4,,327
2025-06-05 17:00:00,3.6,,29
2025-06-05 18:00:00,7.6,,106
2025-06-05 19:00:00,13.0,,247
2025-06-05 20:00:00,11.2,,176
2025-06-05 21:00:00,3.6,,220
2025-06-05 22:00:00,16.6,,272
2025-06-05 23:00:00,18.4,,272
2025-06-06 00:00:00,22.3,,238
2025-06-06 01:00:00,24.1,,233
2025-06-06 02:00:00,20.5,,239
2025-06-06 03:00:00,18.4,,234
2025-06-06 04:00:00,20.5,,232
2025-06-06 05:00:00,20.5,,226
2025-06-06 06:00:00,22.3,,235
2025-06-06 07:00:00,20.5,,241
2025-06-06 08:00:00,24.1,,237
2025-06-06 09:00:00,22.3,,241
2025-06-06 10:00:00,20.5,,259
2025-06-06 11:00:00,24.1,,247
2025-06-06 12:00:00,18.4,,267
2025-06-06 13:00:00,16.6,,251
2025-06-06 14:00:00,16.6,,249
2025-06-06 15:00:00,22.3,,237
2025-06-06 16:00:00,22.3,,249
2025-06-06 17:00:00,44.6,,245
2025-06-06 18:00:00,48.2,,245
2025-06-06 19:00:00,48.2,,256
2025-06-06 20:00:00,40.7,,257
2025-06-06 21:00:00,44.6,,250
2025-06-06 22:00:00,44.6,,261
2025-06-06 23:00:00,42.5,,246
2025-06-07 00:00:00,38.9,,249
2025-06-07 01:00:00,31.7,,257
2025-06-07 02:00:00,40.7,,252
2025-06-07 03:00:00,33.5,,258
2025-06-07 04:00:00,31.7,,264
2025-06-07 05:00:00,35.3,,262
2025-06-07 06:00:00,25.9,,259
2025-06-07 07:00:00,24.1,,257
2025-06-07 08:00:00,11.2,,275
2025-06-07 09:00:00,11.2,,301
2025-06-07 10:00:00,9.4,,127
2025-06-07 11:00:00,7.6,,81
2025-06-07 12:00:00,9.4,,65
2025-06-07 13:00:00,14.8,,56
2025-06-07 14:00:00,14.8,,86
2025-06-07 15:00:00,13.0,,90
2025-06-07 16:00:00,16.6,,106
2025-06-07 17:00:00,16.6,,92
2025-06-07 18:00:00,16.6,,96
2025-06-07 19:00:00,18.4,,95
2025-06-07 20:00:00,18.4,,75
2025-06-07 21:00:00,14.8,,81
2025-06-07 22:00:00,11.2,,80
2025-06-07 23:00:00,13.0,,90
